service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
MQ_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
MQ_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
MV_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
MV_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
MV_A5-Saturday-BM,0,0,0,0,1,0,0,20250214,20250328
MV_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
OF_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
OF_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
OF_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
OH_A5-Weekday-SDon,1,1,1,1,1,0,0,20250210,20250328
OH_A5-Weekday-SDon-BM,1,1,1,1,0,0,1,20250209,20250327
OH_A5-Saturday,0,0,0,0,0,1,0,20250215,20250329
OH_A5-Saturday-BM,0,0,0,0,1,0,0,20250214,20250328
OH_A5-Sunday,0,0,0,0,0,0,1,20250216,20250323
OH_A5-Sunday-BM,0,0,0,0,0,1,0,20250215,20250322
