block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36457198,FB_A5-Weekday-SDon-038400_SB44_612,1,65848704.0,65848743.0,472.85635177128654,,,,,
36457198,FB_A5-Weekday-SDon-043800_SB44_612,2,65848758.0,65848805.0,374.18764559430605,,,,,
36457198,FB_A5-Weekday-SDon-049700_SB44_612,3,65848817.0,65848868.0,352.0264758530858,,,,,
36457198,FB_A5-Weekday-SDon-056000_SB44_612,4,65848880.0,65848927.0,329.0941678753019,,,,,
36457198,FB_A5-Weekday-SDon-061600_SB44_612,5,65848936.0,65848981.0,308.327607137181,,,,,
36457198,FB_A5-Weekday-SDon-067300_SB44_612,6,65848993.0,65849040.0,286.802549188914,Coney IslandStillwell Avenue Terminal,8.244833333333357,7.679,8.076166666666667,0.0273088875077688
36457198,FB_A5-Weekday-SDon-074400_SB44_613,7,65849064.0,65849108.0,306.86735342904063,,,,,
36457198,FB_A5-Weekday-SDon-080600_SB44_613,8,65849126.0,65849181.0,285.3422954807736,,,,,
36457198,FB_A5-Weekday-SDon-087900_SB44_633,9,65849199.0,65849252.0,263.18112573955335,,,,,
36457198,FB_A5-Weekday-SDon-094900_SB44_633,10,65849269.0,65849324.0,240.24881776176946,,,,,
36457198,FB_A5-Weekday-SDon-101600_SB44_633,11,65849336.0,65849386.0,219.48225702364857,,,,,
36457198,FB_A5-Weekday-SDon-108500_SB44_633,12,65849405.0,65849455.0,197.95719907538154,,,,,
36457752,UP_A5-Weekday-SDon-022200_B6_204,1,65848542.0,65848592.0,473.302249844624,,,,,
36457752,UP_A5-Weekday-SDon-028500_B6_204,2,65848605.0,65848673.0,366.16425768133735,,,,,
36457752,UP_A5-Weekday-SDon-036100_B6_204,3,65848681.0,65848752.0,333.5890724555294,,,,,
36457752,UP_A5-Weekday-SDon-044700_B6_204,4,65848767.0,65848859.0,303.149029120041,Coney IslandStillwell Avenue Terminal,2.5746666666666673,4.060666666666666,4.3646666666666665,0.10277190801740212
36457752,UP_A5-Weekday-SDon-055000_B3_102,5,65848870.0,65848948.0,280.680086842298,,,,,
36457752,UP_A5-Weekday-SDon-064100_B3_102,6,65848961.0,65849042.0,250.24004350680963,Coney IslandStillwell Avenue Terminal,7.574666666666673,4.060666666666666,4.3646666666666665,0.10277190801740212
36457752,UP_A5-Weekday-SDon-073800_B6_273,7,65849058.0,65849135.0,265.27110122906663,,,,,
36457752,UP_A5-Weekday-SDon-083400_B6_273,8,65849154.0,65849245.0,234.83105789357825,Coney IslandStillwell Avenue Terminal,2.5746666666666673,4.060666666666666,4.3646666666666665,0.10277190801740212
36457752,UP_A5-Weekday-SDon-093600_B6_265,9,65849256.0,65849348.0,212.36211561583525,,,,,
36457752,UP_A5-Weekday-SDon-104100_B6_265,10,65849361.0,65849457.0,181.92207228034687,,,,,
