block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36441963,OH_A5-Weekday-SDon-002100_M101_3,1,65848341.0,65848365.0,440.97063393412054,,,,,
36441963,OH_A5-Weekday-SDon-006300_M101_3,2,65848383.0,65848442.0,417.12234634157517,,,,,
36441963,OH_A5-Weekday-SDon-013000_M101_3,3,65848450.0,65848515.0,384.57893163143194,,,,,
36441963,OH_A5-Weekday-SDon-021300_M101_3,4,65848533.0,65848588.0,351.80312992250543,,,,,
36441963,OH_A5-Weekday-SDon-031500_M101_3,5,65848635.0,65848712.0,319.25971521236215,,,,,
36441963,OH_A5-Weekday-SDon-040800_M101_3,6,65848728.0,65848830.0,286.4839135034357,,,,,
36441963,OH_A5-Weekday-SDon-053000_M101_62,7,65848850.0,65848968.0,253.94049879329245,Williamsburg Bridge Plaza Bus Termina,8.584000000000001,8.629,9.787,0.22016159105034183
36441963,OH_A5-Weekday-SDon-067500_M101_62,8,65848995.0,65849111.0,269.35589018235794,,,,,
36441963,OH_A5-Weekday-SDon-081200_M101_60,9,65849132.0,65849256.0,236.81247876708522,,,,,
36441963,OH_A5-Weekday-SDon-095200_M101_60,10,65849272.0,65849394.0,204.03668308343472,,,,,
36441963,OH_A5-Weekday-SDon-109800_M101_149,11,65849418.0,65849514.0,171.49327166816198,,,,,
36441963,OH_A5-Weekday-SDon-122000_M101_149,12,65849540.0,65849636.0,138.7174759845115,,,,,
36441963,OH_A5-Weekday-SDon-133200_M101_147,13,65849652.0,65849742.0,106.17406456923877,,,,,
36441963,OH_A5-Weekday-SDon-143500_M101_147,14,65849755.0,65849820.0,73.39826286031229,,,,,
36441963,OH_A5-Weekday-SDon-152000_M101_147,15,65849840.0,65849883.0,40.85484815016904,,,,,
36457204,FB_A5-Weekday-SDon-042000_SB44_618,1,65848740.0,65848803.0,368.48235550031075,,,,,
36457204,FB_A5-Weekday-SDon-049300_SB44_618,2,65848813.0,65848878.0,258.47042785960224,,,,,
36457204,FB_A5-Weekday-SDon-057500_SB44_618,3,65848895.0,65848957.0,230.44498917804233,Williamsburg Bridge Plaza Bus Termina,6.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457204,FB_A5-Weekday-SDon-065400_SB44_615,4,65848974.0,65849037.0,241.20258530986337,Coney IslandStillwell Avenue Terminal,6.973000000000001,9.3895,8.6375,0.03559353635798633
36457204,FB_A5-Weekday-SDon-074200_SB44_615,5,65849062.0,65849123.0,247.214342091324,,,,,
36457204,FB_A5-Weekday-SDon-082200_SB44_615,6,65849142.0,65849211.0,218.72005895030475,Coney IslandStillwell Avenue Terminal,2.9730000000000008,9.3895,8.6375,0.03559353635798633
36457204,FB_A5-Weekday-SDon-091200_SB44_616,7,65849232.0,65849301.0,194.73181573176538,Williamsburg Bridge Plaza Bus Termina,3.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457204,FB_A5-Weekday-SDon-099500_SB44_616,8,65849315.0,65849385.0,182.9894118635864,,,,,
36457211,FB_A5-Weekday-SDon-072500_SB44_623,1,65849045.0,65849106.0,368.48235550031075,Williamsburg Bridge Plaza Bus Termina,8.708500000000047,9.091666666666667,1.1998333333333333,0.005717837165941578
36457211,FB_A5-Weekday-SDon-080500_SB44_623,2,65849125.0,65849194.0,312.7223071324429,,,,,
36457211,FB_A5-Weekday-SDon-088800_SB44_623,3,65849208.0,65849277.0,284.69686845088296,,,,,
36457211,FB_A5-Weekday-SDon-096600_SB44_623,4,65849286.0,65849360.0,256.2025853098637,,,,,
36457211,FB_A5-Weekday-SDon-105600_SB44_635,5,65849376.0,65849440.0,228.17714662830383,Williamsburg Bridge Plaza Bus Termina,5.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457211,FB_A5-Weekday-SDon-113600_SB44_635,6,65849456.0,65849521.0,231.43474276012483,,,,,
36457211,FB_A5-Weekday-SDon-122000_SB44_635,7,65849540.0,65849596.0,203.40930407856493,Williamsburg Bridge Plaza Bus Termina,3.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457211,FB_A5-Weekday-SDon-129000_SB44_635,8,65849610.0,65849664.0,191.66690021038596,,,,,
36457212,FB_A5-Weekday-SDon-072700_SB44_608,1,65849047.0,65849091.0,372.85635177128654,,,,,
36457212,FB_A5-Weekday-SDon-078900_SB44_608,2,65849109.0,65849162.0,274.18764559430605,,,,,
36457212,FB_A5-Weekday-SDon-085300_SB44_630,3,65849173.0,65849226.0,252.0264758530858,,,,,
36457212,FB_A5-Weekday-SDon-092200_SB44_630,4,65849242.0,65849299.0,229.09416787530193,,,,,
36457212,FB_A5-Weekday-SDon-098700_SB44_627,5,65849307.0,65849360.0,206.93299813408169,Williamsburg Bridge Plaza Bus Termina,6.6245,11.728,2.6475,0.2883716594157862
36457212,FB_A5-Weekday-SDon-106100_SB44_627,6,65849381.0,65849431.0,219.02736122528475,,,,,
36457212,FB_A5-Weekday-SDon-112600_SB44_627,7,65849446.0,65849490.0,198.26080048716386,,,,,
36457212,FB_A5-Weekday-SDon-118400_SB44_627,8,65849504.0,65849550.0,176.73574253889683,,,,,
36457219,FB_A5-Weekday-SDon-090000_SB44_619,1,65849220.0,65849289.0,368.48235550031075,,,,,
36457219,FB_A5-Weekday-SDon-097900_SB44_619,2,65849299.0,65849372.0,258.47042785960224,,,,,
36457219,FB_A5-Weekday-SDon-107200_SB44_619,3,65849392.0,65849454.0,230.44498917804233,Williamsburg Bridge Plaza Bus Termina,6.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457219,FB_A5-Weekday-SDon-115100_SB44_636,4,65849471.0,65849536.0,241.20258530986334,,,,,
36457219,FB_A5-Weekday-SDon-123000_SB44_636,5,65849550.0,65849606.0,213.17714662830343,,,,,
36457219,FB_A5-Weekday-SDon-130000_SB44_636,6,65849620.0,65849674.0,184.68286348728418,,,,,
36457223,FB_A5-Weekday-SDon-094800_SB44_640,1,65849268.0,65849337.0,368.48235550031075,Williamsburg Bridge Plaza Bus Termina,5.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457223,FB_A5-Weekday-SDon-103300_SB44_640,2,65849353.0,65849422.0,290.2223071324425,,,,,
36457223,FB_A5-Weekday-SDon-112200_SB44_634,3,65849442.0,65849504.0,262.1968684508826,,,,,
36457223,FB_A5-Weekday-SDon-119900_SB44_634,4,65849519.0,65849580.0,233.70258530986337,,,,,
36457223,FB_A5-Weekday-SDon-127000_SB44_634,5,65849590.0,65849646.0,205.67714662830346,Williamsburg Bridge Plaza Bus Termina,3.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457223,FB_A5-Weekday-SDon-134000_SB44_634,6,65849660.0,65849712.0,193.9347427601245,,,,,
36457225,FB_A5-Weekday-SDon-098400_SB44_643,1,65849304.0,65849373.0,368.48235550031075,,,,,
36457225,FB_A5-Weekday-SDon-106900_SB44_643,2,65849389.0,65849456.0,258.47042785960224,,,,,
36457225,FB_A5-Weekday-SDon-115500_SB44_637,3,65849475.0,65849536.0,230.44498917804236,Williamsburg Bridge Plaza Bus Termina,6.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457225,FB_A5-Weekday-SDon-123300_SB44_637,4,65849553.0,65849612.0,241.20258530986337,,,,,
36457225,FB_A5-Weekday-SDon-130500_SB44_637,5,65849625.0,65849681.0,213.17714662830346,,,,,
36457225,FB_A5-Weekday-SDon-137300_SB44_637,6,65849693.0,65849743.0,184.68286348728424,,,,,
36457232,FB_A5-Weekday-SDon-077800_SB44_626,1,65849098.0,65849142.0,372.85635177128654,Williamsburg Bridge Plaza Bus Termina,3.6245000000000003,11.728,2.6475,0.2883716594157862
36457232,FB_A5-Weekday-SDon-084000_SB44_626,2,65849160.0,65849214.0,286.71431666329295,,,,,
36457232,FB_A5-Weekday-SDon-091500_SB44_626,3,65849235.0,65849288.0,264.55314692207276,Williamsburg Bridge Plaza Bus Termina,3.6245000000000003,11.728,2.6475,0.2883716594157862
36457232,FB_A5-Weekday-SDon-098600_SB44_626,4,65849306.0,65849360.0,254.14751001327582,,,,,
36457232,FB_A5-Weekday-SDon-106000_SB44_632,5,65849380.0,65849430.0,233.38094927515493,,,,,
36457232,FB_A5-Weekday-SDon-112400_SB44_632,6,65849444.0,65849494.0,211.8558913268879,,,,,
36457232,FB_A5-Weekday-SDon-119100_SB44_632,7,65849511.0,65849553.0,191.089330588767,,,,,
36457232,FB_A5-Weekday-SDon-125000_SB44_632,8,65849570.0,65849614.0,169.56427264049998,,,,,
36457235,FB_A5-Weekday-SDon-083700_SB44_632,1,65849157.0,65849226.0,368.48235550031075,,,,,
36457235,FB_A5-Weekday-SDon-091600_SB44_632,2,65849236.0,65849311.0,258.47042785960224,,,,,
36457235,FB_A5-Weekday-SDon-101100_SB44_629,3,65849331.0,65849400.0,230.44498917804233,,,,,
36457235,FB_A5-Weekday-SDon-109300_SB44_629,4,65849413.0,65849480.0,201.95070603702308,,,,,
36457235,FB_A5-Weekday-SDon-117200_SB44_629,5,65849492.0,65849551.0,173.92526735546318,Williamsburg Bridge Plaza Bus Termina,8.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457235,FB_A5-Weekday-SDon-125000_SB44_629,6,65849570.0,65849629.0,199.68286348728424,,,,,
36457237,FB_A5-Weekday-SDon-076100_SB44_620,1,65849081.0,65849125.0,372.85635177128654,Williamsburg Bridge Plaza Bus Termina,3.6245000000000003,11.728,2.6475,0.2883716594157862
36457237,FB_A5-Weekday-SDon-082300_SB44_620,2,65849143.0,65849198.0,286.714316663293,,,,,
36457237,FB_A5-Weekday-SDon-089100_SB44_620,3,65849211.0,65849264.0,264.55314692207276,Williamsburg Bridge Plaza Bus Termina,2.6245000000000003,11.728,2.6475,0.2883716594157862
36457237,FB_A5-Weekday-SDon-096100_SB44_620,4,65849281.0,65849335.0,246.64751001327582,,,,,
